super output areas - middle layer,mnemonic,all_ecact,m16,m18,m20,m25,m35,m55,m60,m65,f16,f18,f20,f25,f35,f55,f60,f65,f_total
Barnsley 001,E02001509,2577,45,64,113,337,716,120,42,19,43,59,118,308,680,97,42,9,1219
Barnsley 002,E02001510,2437,34,53,127,354,667,109,41,22,31,59,95,299,548,87,38,23,1084
Barnsley 003,E02001511,2244,27,68,104,305,635,97,39,10,37,48,108,244,535,64,42,21,1017
Barnsley 004,E02001512,3549,68,52,135,519,911,165,94,26,53,62,141,422,845,150,58,20,1641
Barnsley 005,E02001513,3840,56,53,139,576,1011,172,90,10,63,53,160,474,913,147,69,22,1810
Barnsley 006,E02001514,1889,38,69,106,271,492,76,31,25,38,59,90,216,448,89,24,19,850
Barnsley 007,E02001515,3131,50,92,157,483,778,94,71,28,32,90,177,398,708,80,48,12,1451
Barnsley 008,E02001516,2464,36,74,147,431,605,83,53,14,29,78,143,355,507,81,66,15,1126
Barnsley 009,E02001517,3526,56,74,182,435,963,189,85,25,41,87,164,376,866,158,53,21,1608
Barnsley 010,E02001518,3804,48,79,189,509,1033,147,85,18,53,78,151,452,903,149,74,21,1778
Barnsley 011,E02001519,2128,60,60,105,247,555,98,52,17,49,86,88,235,523,104,38,26,1014
Barnsley 012,E02001520,4816,72,69,183,605,1375,218,87,43,37,63,174,523,1253,182,82,29,2234
Barnsley 013,E02001521,4829,51,88,252,874,1165,147,68,29,65,107,253,658,1046,158,75,15,2250
Barnsley 014,E02001522,2666,68,72,152,362,754,105,25,16,65,61,143,288,618,85,39,17,1178
Barnsley 015,E02001523,2760,38,60,130,377,751,118,69,18,56,70,161,306,638,108,59,19,1281
Barnsley 016,E02001524,2681,21,36,59,237,853,186,67,33,24,55,65,268,749,151,47,34,1256
Barnsley 017,E02001525,2101,61,48,134,371,517,75,37,5,40,49,132,267,467,68,52,31,938
Barnsley 018,E02001526,1587,39,41,77,227,411,69,34,4,51,40,77,195,362,69,31,4,754
Barnsley 019,E02001527,2456,37,48,91,340,740,105,35,16,30,57,73,287,665,91,44,16,1126
Barnsley 020,E02001528,4021,66,101,191,566,1083,164,61,39,63,67,173,445,962,147,45,17,1817
Barnsley 021,E02001529,3563,33,88,142,516,936,168,95,22,66,70,157,411,828,150,65,23,1649
Barnsley 022,E02001530,1991,53,55,104,318,546,56,28,8,49,43,127,226,496,45,51,15,920
Barnsley 023,E02001531,2524,61,65,133,358,682,113,62,21,43,81,162,280,569,82,34,11,1102
Barnsley 024,E02001532,4105,39,72,154,486,1211,203,79,37,43,89,154,448,1036,151,75,22,1895
Barnsley 025,E02001533,2584,41,89,156,353,702,77,45,14,40,64,147,289,638,57,41,17,1182
Barnsley 026,E02001534,3017,51,47,137,431,795,135,79,18,49,55,137,357,692,118,69,14,1395
Barnsley 027,E02001535,2757,30,31,77,296,828,169,114,52,33,33,98,241,739,130,50,20,1246
Barnsley 028,E02001536,3300,22,65,125,495,867,167,66,32,18,58,124,467,755,160,68,31,1533
Barnsley 029,E02001537,2948,47,49,132,427,832,95,54,19,32,67,135,385,698,100,52,19,1374
